Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
03/14/2019,889.5,889.5,889.5,889.5,0.5,+0.06%,139109,692186
03/13/2019,882.75,889.25,882.5,889,4.25,+0.48%,132743,693446
03/12/2019,880.5,885,880.25,884.75,7,+0.80%,152593,694573
03/11/2019,884.5,884.5,877.75,877.75,-6.,-0.68%,140581,692310
03/08/2019,891,891.5,880,883.75,-7.,-0.79%,199482,689628
03/07/2019,892,893.75,887,890.75,1,+0.11%,240678,681602
03/06/2019,900.5,903.5,889.5,889.75,-11.5,-1.28%,143461,675578
03/05/2019,904.75,904.75,896.75,901.25,-2.,-0.22%,127949,658689
03/04/2019,901.25,912.25,901.25,903.25,4,+0.44%,195208,656754
03/01/2019,897.25,905,888.25,899.25,1.75,+0.19%,245055,659174
02/28/2019,903,905.25,897,897.5,-6.,-0.66%,153013,651136
02/27/2019,903,910,900.75,903.5,-0.25,-0.03%,250378,642324
02/26/2019,910,910.75,899,903.75,-8.,-0.88%,294029,650974
02/25/2019,918,921,910.25,911.75,1.5,+0.16%,303783,650580
02/22/2019,910.25,914.75,907.5,910.25,-0.75,-0.08%,289358,659768
02/21/2019,902.75,916.75,900,911,8.5,+0.94%,394146,692670
02/20/2019,902,905,893.25,902.5,1.75,+0.19%,287418,713574
02/19/2019,907.25,911.25,894.75,900.75,-6.75,-0.74%,230462,727412
02/15/2019,905.25,909.75,901.25,907.5,4,+0.44%,235424,721129
02/14/2019,915.75,918.25,903,903.5,-13.,-1.42%,220621,743831
02/13/2019,916.75,920,913.75,916.5,-1.,-0.11%,173520,737049
02/12/2019,905.5,919.75,905.5,917.5,12.5,+1.38%,239133,731689
02/11/2019,914.75,918.75,903.5,905,-9.5,-1.04%,227448,733421
02/08/2019,913,918,908,914.5,1.25,+0.14%,279416,738811
02/07/2019,919.5,921.5,910.5,913.25,-8.5,-0.92%,246217,734742
02/06/2019,920,922.5,917.5,921.75,1.5,+0.16%,210997,731582
02/05/2019,917.75,921,913.5,920.25,1.75,+0.19%,182399,740350
02/04/2019,917,923.75,915.5,918.5,0.75,+0.08%,162344,724496
02/01/2019,921,931.25,917,917.75,2.5,+0.27%,312677,705125
01/31/2019,919.5,926.75,913.25,915.25,-5.75,-0.62%,171625,701164
01/30/2019,919,924,917.25,921,2,+0.22%,109325,696335
01/29/2019,921.75,922.25,916.75,919,-4.25,-0.46%,146946,691916
01/28/2019,923.5,925,915.75,923.25,-2.,-0.22%,113984,691255
01/25/2019,915.75,926.25,913,925.25,9.25,+1.01%,179155,690563
01/24/2019,915,919.5,909.25,916,1,+0.11%,138971,694366
01/23/2019,911,918.25,910.5,915,5.75,+0.63%,112852,693916
01/22/2019,916.5,919.5,899.5,909.25,-7.5,-0.82%,196809,696118
01/18/2019,908.25,920.25,905.75,916.75,9,+0.99%,176854,689986
01/17/2019,895.5,912,894.25,907.75,13.25,+1.48%,179771,687241
01/16/2019,895.5,900,891.25,894.5,1.25,+0.14%,143408,685456
01/15/2019,904.25,908,892.5,893.25,-10.25,-1.13%,178810,684787
01/14/2019,910,911,901.5,903.5,-6.75,-0.74%,135135,681068
01/11/2019,907,912.25,906.75,910.25,3.5,+0.39%,151892,685622
01/10/2019,923.25,924.25,905.75,906.75,-17.25,-1.87%,172097,684114
01/09/2019,918.5,926.5,917.5,924,5.5,+0.60%,197272,678380
01/08/2019,923.25,925.75,914.5,918.5,-5.75,-0.62%,196236,673773
01/07/2019,921,927.75,920.75,924.25,2.75,+0.30%,124895,663602
01/04/2019,910.5,922.5,910,921.5,8.75,+0.96%,134494,662497
01/03/2019,906,913.5,904.25,912.75,5.75,+0.63%,116109,661627
01/02/2019,894.25,910.5,893,907,12,+1.34%,168153,666641
12/31/2018,898.5,902,892,895,-0.5,-0.06%,104503,665638
12/28/2018,884,899.75,883.25,895.5,13,+1.47%,199682,664292
12/27/2018,883.75,889,880.5,882.5,-0.5,-0.06%,202610,675837
12/26/2018,898,901.75,882.5,883,-14.,-1.56%,179786,689292
12/24/2018,896.25,899.5,892.25,897,-0.75,-0.08%,102637,701165
12/21/2018,905,907.5,896,897.75,-8.5,-0.94%,247148,706473
12/20/2018,912.75,918.25,905.75,906.25,-6.75,-0.74%,225136,732479
12/19/2018,920,922.5,912,913,-7.75,-0.84%,264239,737977
12/18/2018,916,925,915.75,920.75,2.75,+0.30%,200806,738470
12/17/2018,913.75,922.25,913.25,918,4.25,+0.47%,167468,742441
12/14/2018,920.5,923.25,913,913.75,-6.75,-0.73%,217067,745290
12/13/2018,931.75,933,918.25,920.5,-12.75,-1.37%,261763,745771
12/12/2018,928.75,941,928.5,933.25,5,+0.54%,259903,746582
12/11/2018,921,930.25,919,928.25,5.5,+0.60%,229819,739226
12/10/2018,925,929,921.25,922.75,-6.25,-0.67%,216008,739322
12/07/2018,922.25,930,919.25,929,7,+0.76%,229995,738306
12/06/2018,923.5,924.25,909.75,922,-3.5,-0.38%,241454,737229
12/05/2018,922,928.5,920.25,925.5,1.75,+0.19%,155696,739664
12/04/2018,913.75,924.5,911.75,923.75,6,+0.65%,193760,741450
12/03/2018,929.75,935.75,916.5,917.75,10.25,+1.13%,365163,739798
11/30/2018,900.5,909.5,899.75,907.5,7,+0.78%,175198,726522
11/29/2018,903.5,907.75,896.25,900.5,-3.75,-0.41%,160438,732129
11/28/2018,889.25,908.25,888,904.25,15,+1.69%,215903,733166
11/27/2018,876.25,894,872,889.25,13,+1.48%,159602,740891
11/26/2018,894.5,896.5,871.25,876.25,-18.5,-2.07%,215936,750556
11/23/2018,894.75,898,893.5,894.75,-2.,-0.22%,58419,741574
11/21/2018,896,902.5,889.75,896.75,2.25,+0.25%,117265,738778
11/20/2018,888,899.25,884.5,894.5,7,+0.79%,106890,736279
11/19/2018,905,905.5,885.25,887.5,-18.25,-2.01%,147998,745665
11/16/2018,902.75,908.25,895.25,905.75,3.5,+0.39%,138197,742473
11/15/2018,896.75,910.75,896.75,902.25,5.5,+0.61%,150144,739953
11/14/2018,892.25,900.25,892.25,896.75,5,+0.56%,125318,745127
11/13/2018,895,904,890.75,891.75,-5.,-0.56%,142393,747077
11/12/2018,898.5,900.25,893,896.75,-3.25,-0.36%,104066,743905
11/09/2018,891,901.75,887,900,8,+0.90%,169134,747357
11/08/2018,891.75,896.75,877,892,-0.25,-0.03%,212526,745270
11/07/2018,896.25,900.25,889.25,892.25,-4.25,-0.47%,146107,744605
11/06/2018,896.75,901.5,891,896.5,-1.75,-0.19%,116046,749701
11/05/2018,901.25,905,894,898.25,-1.75,-0.19%,151191,750120
11/02/2018,892.75,912.25,891.25,900,5.75,+0.64%,245194,754380
11/01/2018,863,900.5,859,894.25,29.25,+3.38%,381413,761480
10/31/2018,859.5,868,858,865,4.5,+0.52%,200867,763625
10/30/2018,865.5,868.75,859.25,860.5,-5.,-0.58%,303143,758346
10/29/2018,871,878.5,863.5,865.5,-5.5,-0.63%,307486,777061
10/26/2018,868,875.25,867,871,3,+0.35%,266595,792735
10/25/2018,876.5,877,866.25,868,-8.75,-1.00%,311313,831325
10/24/2018,883,883.5,876.5,876.75,-7.5,-0.85%,408471,824165
10/23/2018,884.25,889.5,878.5,884.25,-1.5,-0.17%,234387,840910
10/22/2018,882.25,889.5,882.25,885.75,2.25,+0.25%,264454,843037
10/19/2018,892.25,893,883,883.5,-7.,-0.79%,231711,851420
10/18/2018,908.75,910,889.75,890.5,-21.75,-2.38%,244707,858959
10/17/2018,910.5,916.25,908.5,912.25,0.75,+0.08%,185866,860938
10/16/2018,917.25,917.5,906.25,911.5,-6.5,-0.71%,202253,856882
10/15/2018,894,918.25,890.5,918,23.5,+2.63%,294144,863135
10/12/2018,886,894.5,885.5,894.5,9.5,+1.07%,149118,861035
10/11/2018,878.5,890,873.5,885,6.25,+0.71%,295506,859191
10/10/2018,889.25,890.75,874.25,878.75,-10.5,-1.18%,254635,856476
10/09/2018,894,896.75,885.25,889.25,-5.5,-0.61%,287131,847629
10/08/2018,895,899,887.75,894.75,0.5,+0.06%,239289,853349
10/05/2018,886.5,895.5,878.25,894.25,8.25,+0.93%,317767,850044
10/04/2018,888.25,895,885.25,886,-3.,-0.34%,196059,862953
10/03/2018,892.25,896.75,887.5,889,-3.25,-0.36%,176557,865856
10/02/2018,883,893.5,878.75,892.25,8,+0.90%,207487,861752
10/01/2018,872.5,890,870,884.25,11.5,+1.32%,252601,868001
09/28/2018,880.75,886.25,869.25,872.75,-9.25,-1.05%,230422,866056
09/27/2018,875,885.5,873.25,882,5.5,+0.63%,117693,873956
09/26/2018,872.25,880.5,872.25,876.5,3.75,+0.43%,144465,867296
09/25/2018,868,884.5,864.75,872.75,4.25,+0.49%,273302,865196
09/24/2018,871,872,865.25,868.5,-5.75,-0.66%,128223,859320
09/21/2018,872,876.25,868.25,874.25,-2.75,-0.31%,145404,858118
09/20/2018,857,881.5,852.75,877,19.75,+2.30%,270510,863664
09/19/2018,841.25,859,840.75,857.25,15.75,+1.87%,129845,871874
09/18/2018,848.5,852.25,839.75,841.5,-9.,-1.06%,159504,868535
09/17/2018,855,856.75,849,850.5,-6.75,-0.79%,124175,857750
09/14/2018,860,864.25,856.5,857.25,-2.5,-0.29%,133633,852260
09/13/2018,865.5,872.25,858.5,859.75,-6.25,-0.72%,182397,841212
09/12/2018,857.5,871.25,848,866,7.75,+0.90%,290386,835642
09/11/2018,872.25,876,857.5,858.25,-13.5,-1.55%,155693,826269
09/10/2018,868,877.25,867.25,871.75,1.5,+0.17%,144956,822806
09/07/2018,864.75,872.75,861.25,870.25,5,+0.58%,128692,818000
09/06/2018,864.25,868.25,860.75,865.25,1.75,+0.20%,127748,814634
09/05/2018,869.75,874.75,862.75,863.5,-6.25,-0.72%,92609,810119
09/04/2018,871.5,876.25,862.75,869.75,0.25,+0.03%,172204,808144
08/31/2018,855.5,872.25,855.5,869.5,11.25,+1.31%,149129,808891
08/30/2018,862,870.75,855.5,858.25,-4.5,-0.52%,164807,812277
08/29/2018,860,870,858.5,862.75,2.75,+0.32%,204302,804383
08/28/2018,874.25,876.75,860,860,-15.,-1.71%,203715,801315
08/27/2018,877.25,879.75,865,875,-6.25,-0.71%,236487,802870
08/24/2018,879.5,886.25,879.25,881.25,1.25,+0.14%,156062,803198
08/23/2018,894.5,898.5,879.5,880,-15.5,-1.73%,178581,806176
08/22/2018,909,909.25,894.25,895.5,-14.75,-1.62%,194784,797032
08/21/2018,910.75,917.75,908.25,910.25,-6.25,-0.68%,146168,789943
08/20/2018,922.75,928.5,914.75,916.5,1,+0.11%,125688,787299
08/17/2018,919.75,921.75,905.5,915.5,-4.25,-0.46%,160316,790155
08/16/2018,894,922.5,889.75,919.75,27.25,+3.05%,238810,795415
08/15/2018,901.25,905.75,891.5,892.5,-9.5,-1.05%,141952,801080
08/14/2018,889.5,903,887.25,902,10.5,+1.18%,165475,799989
08/13/2018,882,893.75,876,891.5,6.5,+0.73%,259912,801545
08/10/2018,923.75,923.75,884.25,885,-40.,-4.32%,349951,797642
08/09/2018,931.25,935.25,923.5,925,-6.25,-0.67%,121662,790914
08/08/2018,924.75,934.25,919.75,931.25,5,+0.54%,116733,793430
08/07/2018,918,928.75,917.25,926.25,12,+1.31%,140543,789827
08/06/2018,921.75,924,908.25,914.25,-9.,-0.97%,90759,786452
08/03/2018,918.5,924.5,904,923.25,5.25,+0.57%,151805,789539
08/02/2018,917,923.25,906,918,-3.75,-0.41%,173217,792891
08/01/2018,931,934.25,918.75,921.75,-16.75,-1.78%,217957,795150
07/31/2018,910.75,941.75,908.5,938.5,27.75,+3.05%,279921,804573
07/30/2018,914,915.25,905.75,910.75,6.25,+0.69%,221055,819836
07/27/2018,892.75,908,892.75,904.5,9,+1.01%,163548,825928
07/26/2018,904.5,915,893.25,895.5,-0.25,-0.03%,266441,848492
07/25/2018,894,897.75,886.5,895.75,2.75,+0.31%,147290,853698
07/24/2018,879.5,897,877,893,11,+1.25%,221564,860280
07/23/2018,887,888.5,881.5,882,-1.75,-0.20%,128695,867153
07/20/2018,881.5,887.75,876,883.75,3,+0.34%,127902,868692
07/19/2018,877.75,881.25,871.5,880.75,3.5,+0.40%,127092,860711
07/18/2018,874,882.5,870,877.25,2.5,+0.29%,118239,856844
07/17/2018,870.25,879,866,874.75,9.25,+1.07%,188704,857941
07/16/2018,853,874,846,865.5,12,+1.41%,170143,853608
07/13/2018,869.5,871.75,846.5,853.5,-14.25,-1.64%,188123,851191
07/12/2018,869,875.25,857.25,867.75,0.5,+0.06%,199722,838484
07/11/2018,882.75,885.25,866.25,867.25,-23.,-2.58%,237343,837863
07/10/2018,889.5,898.5,880.25,890.25,0.75,+0.08%,163740,831732
07/09/2018,913,913,884,889.5,-21.5,-2.36%,171595,826677
07/06/2018,872,914.25,870.25,911,39,+4.47%,234218,824483
07/05/2018,880,883,870.75,872,-8.5,-0.97%,144607,812217
07/03/2018,888,889,879.5,880.5,-4.5,-0.51%,124695,803511
07/02/2018,895.75,898.75,881.75,885,-9.,-1.01%,169520,803178
06/29/2018,899.25,912.25,893.25,894,-3.5,-0.39%,192050,806110
06/28/2018,901.25,905.5,896,897.5,-5.75,-0.64%,200713,800369
06/27/2018,902,911.5,900.75,903.25,2.25,+0.25%,298373,808844
06/26/2018,907.75,914.25,897,901,-8.,-0.88%,313078,838292
06/25/2018,929.5,932,906.25,909,-19.,-2.05%,296142,840147
06/22/2018,915,929.75,915,928,13,+1.42%,338208,857249
06/21/2018,925,926.25,913.25,915,-9.,-0.97%,265750,904502
06/20/2018,926.5,930.25,913.25,924,0,0.00%,316419,906861
06/19/2018,940.5,940.5,881.25,924,-19.25,-2.04%,538772,917545
06/18/2018,944.25,951.25,935.75,943.25,0,0.00%,370169,927046
06/15/2018,959.75,963.75,939.75,943.25,-17.5,-1.82%,455899,943584
06/14/2018,967.25,970,958,960.75,-7.75,-0.80%,286600,942842
06/13/2018,985.25,987.75,966.5,968.5,-15.,-1.53%,446341,938625
06/12/2018,980.25,991.5,980.25,983.5,3,+0.31%,327255,923162
06/11/2018,994,998.5,979.25,980.5,-14.75,-1.48%,314946,914917
06/08/2018,1000.5,1003.5,991.25,995.25,-5.25,-0.52%,303218,926655
