Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
09/13/2019,890,890.25,884.75,884.75,1.75,+0.20%,171375,678584
09/12/2019,862.75,883,862.75,883,29,+3.40%,345170,678703
09/11/2019,853.75,854.75,851.5,854,-5.25,-0.61%,112453,671546
09/10/2019,847.25,860,845.5,859.25,14.25,+1.69%,195710,669501
09/09/2019,843,847.75,839.75,845,0,0.00%,157918,667070
09/06/2019,853.5,853.5,844.75,845,-4.75,-0.56%,139768,661399
09/05/2019,863,864.5,846.75,849.75,-12.75,-1.48%,167551,655874
09/04/2019,856.5,864,852.5,862.5,6,+0.70%,151208,643964
09/03/2019,855.5,856.5,848.75,856.5,-0.5,-0.06%,190979,642132
08/30/2019,856.25,864.75,855,857,0.75,+0.09%,132912,638414
08/29/2019,852.75,860.5,852.5,856.25,3.5,+0.41%,214742,638240
08/28/2019,846.25,854.75,839.5,852.75,6.5,+0.77%,213467,648180
08/27/2019,851.5,852,843,846.25,-7.5,-0.88%,216686,644246
08/26/2019,842,857.25,842,853.75,10.5,+1.25%,247231,649816
08/23/2019,855.5,859.25,842,843.25,-12.75,-1.49%,281808,651045
08/22/2019,860.5,869.5,855.25,856,-4.5,-0.52%,168639,658770
08/21/2019,855.75,864,854.25,860.5,4.75,+0.56%,118285,645042
08/20/2019,856.25,862,853,855.75,1.75,+0.20%,122393,642876
08/19/2019,862.25,865,852,854,-13.25,-1.53%,114844,639721
08/16/2019,858.25,868,858.25,867.25,9.25,+1.08%,119796,637320
08/15/2019,866.75,872,857.75,858,-7.5,-0.87%,123499,632601
08/14/2019,877,880.75,864.5,865.5,-10.75,-1.23%,143094,627987
08/13/2019,866.75,883.75,863.25,876.25,9.5,+1.10%,195286,622488
08/12/2019,879,879.75,863.5,866.75,-12.25,-1.39%,220114,619703
08/09/2019,870.75,882,869.25,879,8.75,+1.01%,136470,625271
08/08/2019,854,872,852.25,870.25,16.25,+1.90%,164391,627095
08/07/2019,852.75,856.25,849.25,854,1,+0.12%,142226,630332
08/06/2019,853,859.5,851.75,853,-3.,-0.35%,122413,633067
08/05/2019,857,861.5,841.5,856,0.25,+0.03%,198353,631595
08/02/2019,854.25,859.5,850.25,855.75,3,+0.35%,152776,626520
08/01/2019,867.75,869.25,847.25,852.75,-16.25,-1.87%,222210,622229
07/31/2019,881.75,887.25,867.5,869,-15.25,-1.72%,203349,618139
07/30/2019,890.5,892.75,877,884.25,-7.25,-0.81%,236285,605996
07/29/2019,888,896.5,887.25,891.5,2.75,+0.31%,224088,605807
07/26/2019,888.25,894.75,886.75,888.75,1,+0.11%,191740,624947
07/25/2019,895.75,901.25,886.25,887.75,-8.5,-0.95%,178634,652078
07/24/2019,891.5,900.5,889.5,896.25,4.75,+0.53%,171637,658986
07/23/2019,894.75,898.25,887,891.5,-2.5,-0.28%,145942,666535
07/22/2019,907.25,910,893.25,894,-13.25,-1.46%,158595,665722
07/19/2019,887.5,911.75,885.25,907.25,20.25,+2.28%,234817,677426
07/18/2019,886.5,891.5,881.25,887,-1.25,-0.14%,170670,677283
07/17/2019,893.25,900,887.5,888.25,-5.5,-0.62%,146847,674655
07/16/2019,905.75,905.75,890.75,893.75,-14.,-1.54%,250071,670495
07/15/2019,921.5,923.5,906.5,907.75,-11.25,-1.22%,141887,682109
07/12/2019,905,919.5,901.25,919,14,+1.55%,159372,692420
07/11/2019,899,905.25,893.25,905,4.75,+0.53%,144207,687073
07/10/2019,892,901,887,900.25,8.5,+0.95%,156453,685739
07/09/2019,886.5,892.25,878,891.75,6.5,+0.73%,151797,676785
07/08/2019,888.75,890.25,879.25,885.25,3,+0.34%,125684,671963
07/05/2019,895,895.75,881.25,882.25,-14.,-1.56%,121625,656183
07/03/2019,886.5,896.75,883.5,896.25,10.25,+1.16%,119090,653191
07/02/2019,897.5,900.75,885.5,886,-10.25,-1.14%,183352,648855
07/01/2019,921,922.25,894.5,896.25,-14.75,-1.62%,204334,639052
06/28/2019,900,918,899.75,911,11,+1.22%,271251,642446
06/27/2019,904.25,910.25,895.75,900,-6.,-0.66%,280471,642815
06/26/2019,913.5,913.5,905.25,906,-8.5,-0.93%,317761,645005
06/25/2019,926.75,929,911.5,914.5,-6.,-0.65%,389033,654165
06/24/2019,914.75,923,912,920.5,5.75,+0.63%,268028,674379
06/21/2019,927.25,929.75,914.75,914.75,-13.25,-1.43%,286012,691864
06/20/2019,914,930,910,928,12,+1.31%,313828,739710
06/19/2019,925.75,926.75,914.25,916,-11.25,-1.21%,360822,744529
06/18/2019,931.75,935,916.5,927.25,1,+0.11%,324169,777993
06/17/2019,915,927.5,914.5,926.25,16.25,+1.79%,363113,792016
06/14/2019,901,911.5,898.75,910,8.25,+0.91%,315032,794543
06/13/2019,892,902.5,892,901.75,10,+1.12%,274246,785771
06/12/2019,871.5,897,867.25,891.75,18.5,+2.12%,325551,764143
06/11/2019,869.5,877.25,864.25,873.25,1,+0.11%,272768,757333
06/10/2019,867.25,879.5,862,872.25,2.25,+0.26%,214285,759385
06/07/2019,882.25,884.75,868.75,870,-12.25,-1.39%,246749,759304
06/06/2019,882.75,885.75,871.5,882.25,-1.5,-0.17%,219637,754773
06/05/2019,895.5,896.25,882.25,883.75,-12.25,-1.37%,249534,767208
06/04/2019,905,907.75,893,896,3,+0.34%,265533,771623
06/03/2019,890.25,900,888,893,1.25,+0.14%,226669,768457
05/31/2019,902.5,904.25,890.75,891.75,-10.5,-1.16%,223795,780867
05/30/2019,884.75,902.75,877.5,902.25,16.75,+1.89%,255096,786671
05/29/2019,879.5,905.75,877.25,885.5,16,+1.84%,393158,787772
05/28/2019,853.25,871.5,851.5,869.5,26,+3.08%,269510,778621
05/24/2019,835.25,845,834,843.5,8.25,+0.99%,168601,770769
05/23/2019,842.5,847,830.75,835.25,-7.,-0.83%,206851,773239
05/22/2019,833,848.25,833,842.25,6.75,+0.81%,203620,772662
05/21/2019,855.5,859.25,832.75,835.5,-9.5,-1.12%,360167,771522
05/20/2019,841,851.5,838,845,10.25,+1.23%,182733,761750
05/17/2019,853.5,854.25,833.75,834.75,-17.75,-2.08%,195034,758671
05/16/2019,847.25,857.25,847.25,852.5,4.5,+0.53%,188765,757802
05/15/2019,845.75,860,839.5,848,4,+0.47%,304621,751311
05/14/2019,819,850.25,818.75,844,29,+3.56%,297670,756932
05/13/2019,817.75,819.5,803.75,815,-6.5,-0.79%,205843,762933
05/10/2019,825,831,819.5,821.5,-3.5,-0.42%,214263,760527
05/09/2019,837.75,838,819.25,825,-14.25,-1.70%,254097,761519
05/08/2019,842.5,846.5,837,839.25,-3.25,-0.39%,165349,762023
05/07/2019,841.75,847.75,839.25,842.5,0.25,+0.03%,180564,752910
05/06/2019,839.75,845.5,829,842.25,-11.75,-1.38%,309575,760104
05/03/2019,855.5,859.25,852.5,854,-0.75,-0.09%,144422,753375
05/02/2019,864.25,864.5,853.25,854.75,-8.5,-0.98%,184918,744078
05/01/2019,864.75,868.75,856,863.25,-2.,-0.23%,187381,732998
04/30/2019,872.5,875.25,862.5,865.25,-6.25,-0.72%,201309,727156
04/29/2019,879.75,883.75,871.5,871.5,-6.75,-0.77%,295389,719652
04/26/2019,883.5,884,877.25,878.25,-5.75,-0.65%,366943,739758
04/25/2019,880.25,887.25,878.5,884,4,+0.45%,359143,810462
04/24/2019,887.5,889.75,879.5,880,-6.75,-0.76%,288534,817937
04/23/2019,900.75,902.25,885.5,886.75,-14.,-1.55%,407839,811336
04/22/2019,904,907,900.5,900.75,-4.,-0.44%,170451,802806
04/18/2019,903.25,906,900.75,904.75,1.25,+0.14%,168862,804501
04/17/2019,912.25,914.75,902.75,903.5,-8.75,-0.96%,228837,804156
04/16/2019,922.5,922.5,910.5,912.25,-10.,-1.08%,223687,787124
04/15/2019,920,925.25,919.75,922.25,3.5,+0.38%,195586,767733
04/12/2019,918.25,922,917.75,918.75,-0.25,-0.03%,159770,769540
04/11/2019,924.75,926.75,917.5,919,-6.25,-0.68%,195225,773754
04/10/2019,922,927.25,921,925.25,3,+0.33%,222910,763361
04/09/2019,922,925.25,918.25,922.25,0.25,+0.03%,186031,767938
04/08/2019,923.25,927.25,921.75,922,-1.,-0.11%,222313,757413
04/05/2019,928,928,920.5,923,-6.75,-0.73%,208130,746108
04/04/2019,920.75,930.75,920.75,929.75,7.25,+0.79%,198818,743692
04/03/2019,924.5,926.5,919,922.5,-1.5,-0.16%,120918,740061
04/02/2019,921.75,925,916.75,924,4.75,+0.52%,150582,737102
04/01/2019,909,922.75,909,919.25,9.75,+1.07%,230229,734329
03/29/2019,914,917.5,908.75,909.5,-5.,-0.55%,200839,738038
03/28/2019,913.25,917,912.5,914.5,1.25,+0.14%,135393,726103
