Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
05/14/2015,976.75,978.75,963,963,-12.,-1.23%,153005,688677
05/13/2015,974.5,978.5,970.5,975,8,+0.83%,194988,690869
05/12/2015,982,991.25,967,967,-16.,-1.63%,264628,693980
05/11/2015,983,989,981.5,983,-1.5,-0.15%,99284,691216
05/08/2015,982.75,986.25,977.75,984.5,3,+0.31%,121796,688277
05/07/2015,990.5,992.5,979.25,981.5,-9.,-0.91%,136336,689594
05/06/2015,993.25,1000.5,988.25,990.5,-3.,-0.30%,166520,693542
05/05/2015,982.5,994.5,981.5,993.5,10.5,+1.07%,191672,688679
05/04/2015,968,984,966.75,983,14.5,+1.50%,151579,681524
05/01/2015,979.75,980.5,964.5,968.5,-10.,-1.02%,141990,672804
04/30/2015,989,997.25,975,978.5,-10.,-1.01%,216710,674917
04/29/2015,977,989.75,974,988.5,11,+1.13%,235313,676560
04/28/2015,972,988.5,972,977.5,4.5,+0.46%,340242,692811
04/27/2015,968,979,965,973,3.25,+0.34%,227668,707413
04/24/2015,978,981,966.75,969.75,-8.5,-0.87%,210590,708926
04/23/2015,971.25,983,971,978.25,7.75,+0.80%,244771,737269
04/22/2015,973.75,976.5,965.25,970.5,-4.75,-0.49%,251545,737021
04/21/2015,976.75,977,968.75,975.25,-2.25,-0.23%,188760,749699
04/20/2015,968,981,967.5,977.5,8.75,+0.90%,260289,748224
04/17/2015,965.25,972.5,963,968.75,2.75,+0.28%,212968,758889
04/16/2015,964,970.25,955.5,966,1,+0.10%,187844,759335
04/15/2015,959.25,976.75,958.75,965,4.75,+0.49%,311131,780539
04/14/2015,948.75,961.5,948.5,960.25,11.5,+1.21%,295408,794398
04/13/2015,948,957.5,945.75,948.75,-2.75,-0.29%,202465,793117
04/10/2015,954,958.5,944.5,951.5,-2.,-0.21%,259010,785760
04/09/2015,971.25,972,950.25,953.5,-18.,-1.85%,335819,777924
04/08/2015,971,975,967.75,971.5,0.5,+0.05%,221609,764521
04/07/2015,977.75,984,970,971,-7.5,-0.77%,210740,753955
04/06/2015,985,990.25,978,978.5,-7.5,-0.76%,117166,746749
04/02/2015,988,993,980.75,986,-3.75,-0.38%,212655,756816
04/01/2015,973.25,991.75,972.75,989.75,16.5,+1.70%,286973,767927
03/31/2015,967,981,951.25,973.25,5.5,+0.57%,332725,763912
03/30/2015,968,976.75,965,967.75,0.5,+0.05%,162443,752208
03/27/2015,974,976.25,965,967.25,-7.25,-0.74%,155547,748958
03/26/2015,977,981.5,972,974.5,-4.25,-0.43%,176639,743229
03/25/2015,982.75,987.75,978,978.75,-3.,-0.31%,198644,738299
03/24/2015,983.75,985,975.75,981.75,-1.75,-0.18%,143540,728285
03/23/2015,974.5,990,973.25,983.5,9.75,+1.00%,161339,731358
03/20/2015,961.75,980,960,973.75,12,+1.25%,207937,726180
03/19/2015,969.25,980.25,956.5,961.75,-3.25,-0.34%,196207,725244
03/18/2015,954.5,966.75,953.5,965,10.5,+1.10%,188424,721998
03/17/2015,968,973,953.5,954.5,-14.75,-1.52%,193638,716017
03/16/2015,972.5,978,967.5,969.25,-4.75,-0.49%,132733,703673
03/13/2015,990.25,994,972.5,974,-16.5,-1.67%,199694,696696
03/12/2015,992,997.5,985,990.5,-2.25,-0.23%,175588,689402
03/11/2015,982.5,997.5,982.25,992.75,8.25,+0.84%,175623,688370
03/10/2015,992.5,994,981.75,984.5,-8.75,-0.88%,164367,678241
03/09/2015,985.25,999,985,993.25,8.25,+0.84%,159142,676743
03/06/2015,985,988.25,976.75,985,-0.5,-0.05%,169029,674211
03/05/2015,995.25,998,985,985.5,-8.5,-0.86%,169570,666430
03/04/2015,1012.5,1014.25,993,994,-18.25,-1.80%,166782,670987
03/03/2015,1014,1018,1002,1012.25,-1.5,-0.15%,204184,671988
03/02/2015,1030,1039,1011.25,1013.75,-18.,-1.74%,177036,667870
02/27/2015,1026,1038,1022,1031.75,5.25,+0.51%,226710,671617
02/26/2015,1010.5,1027,1008.75,1026.5,15.75,+1.56%,262984,668085
02/25/2015,1018,1024.5,1004.75,1010.75,-8.,-0.79%,233812,674710
02/24/2015,1001.25,1032,1001,1018.75,17.25,+1.72%,431175,677947
02/23/2015,1003.75,1009,994.5,1001.5,-0.75,-0.07%,192781,680641
