Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
09/14/2005,576,576,569.5,569.5,-6.5,-1.13%,113052,247174
09/13/2005,573.5,576,573.5,576,1,+0.17%,90740,244301
09/12/2005,580,580,575,575,-5.5,-0.95%,121368,243486
09/09/2005,580.5,580.5,580.5,580.5,-10.,-1.69%,94344,244722
09/08/2005,594,594,590.5,590.5,-4.5,-0.76%,81594,246684
09/07/2005,601.5,602,595,595,-9.75,-1.61%,100960,245664
09/06/2005,592,604.75,591.75,604.75,16.25,+2.76%,100518,245446
09/02/2005,600,600,588.5,588.5,-7.25,-1.22%,85434,244582
09/01/2005,589,595.75,589,595.75,9,+1.53%,114738,246375
08/31/2005,599.75,604,586.75,586.75,-13.,-2.17%,163928,245479
08/30/2005,592,599.75,591.5,599.75,5.75,+0.97%,170138,244693
08/29/2005,590,600.5,590,594,3,+0.51%,113304,247818
08/26/2005,587,591,584,591,4,+0.68%,121470,247468
08/25/2005,602.75,605,587,587,-15.5,-2.57%,154690,251545
08/24/2005,610.5,611,602.5,602.5,-8.25,-1.35%,66508,254479
08/23/2005,609.25,615.75,609.25,610.75,3.5,+0.58%,98048,256093
08/22/2005,597.25,607.25,597.25,607.25,10,+1.67%,86938,253785
08/19/2005,609,609.75,597.25,597.25,-12.5,-2.05%,139482,254165
08/18/2005,614.75,616.5,609.75,609.75,-5.25,-0.85%,89382,257116
08/17/2005,615.75,617.5,610.25,615,-1.75,-0.28%,116634,258195
08/16/2005,613,616.75,608.25,616.75,4,+0.65%,118176,258058
08/15/2005,636,639,612.75,612.75,-27.75,-4.33%,198326,258372
08/12/2005,642.25,643.5,639.25,640.5,-2.75,-0.43%,138472,260141
08/11/2005,644,647.75,643.25,643.25,-2.5,-0.39%,79532,256448
08/10/2005,646,646,639,645.75,-0.5,-0.08%,108896,255150
08/09/2005,664.25,664.25,646.25,646.25,-18.,-2.71%,136116,256525
08/08/2005,675,677.25,664.25,664.25,2.5,+0.38%,108322,257874
08/05/2005,678.5,683.5,661.75,661.75,-13.75,-2.04%,207550,256854
08/04/2005,675,676.5,671,675.5,0.25,+0.04%,95914,267593
08/03/2005,694.75,699,675.25,675.25,-19.25,-2.77%,152388,268646
08/02/2005,682.75,694.5,680,694.5,17.25,+2.55%,162196,272177
08/01/2005,680.5,683.25,671,677.25,0.25,+0.04%,147988,268943
07/29/2005,691,693.75,677,677,-12.,-1.74%,159294,274288
07/28/2005,678,689,678,689,11,+1.62%,156424,274012
07/27/2005,675.75,685,671.75,678,-1.25,-0.18%,126984,270368
07/26/2005,674.5,688.25,672.5,679.25,4.75,+0.70%,200432,272855
07/25/2005,674.5,674.5,664.25,674.5,1.25,+0.19%,166758,273407
07/22/2005,672,681.25,670.25,673.25,-1.25,-0.19%,135372,272370
07/21/2005,690,692.25,674.5,674.5,-14.25,-2.07%,173060,275134
