Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
01/14/2000,482,490,480,485.5,3.75,+0.78%,134410,143981
01/13/2000,472.5,483.5,471,481.75,9.25,+1.96%,133746,143218
01/12/2000,465.25,479,465.25,472.5,5.5,+1.18%,125292,142862
01/11/2000,465,470.75,464,467,0.75,+0.16%,90166,142749
01/10/2000,468,469.25,465,466.25,-5.25,-1.11%,99290,140076
01/07/2000,465.5,472,465.5,471.5,3.5,+0.75%,88448,135390
01/06/2000,469,473,468,468,-1.25,-0.27%,105200,134773
01/05/2000,462.5,470,462.5,469.25,5,+1.08%,107314,135585
01/04/2000,456.5,466,456.5,464.25,7.75,+1.70%,90838,135255
01/03/2000,461,466,455.75,456.5,-5.25,-1.14%,82180,135418
"Downloaded from Barchart.com as of 07-02-2024 01:13pm CDT"
