Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
08/14/2015,991.25,991.25,965,978.5,-14.5,-1.46%,124815,660971
08/13/2015,953,995,953,993,42,+4.42%,225559,656957
08/12/2015,1018.75,1018.75,950,951,-63.,-6.21%,428732,659428
08/11/2015,1039,1039.5,1013,1014,-30.75,-2.94%,226900,648712
08/10/2015,1010.5,1045.75,1010.5,1044.75,35.75,+3.54%,215231,649078
08/07/2015,982,1010.25,982,1009,23.5,+2.38%,182305,648257
08/06/2015,991,992,983.75,985.5,-6.25,-0.63%,158687,650189
08/05/2015,974.5,992.25,974.5,991.75,15.75,+1.61%,149582,645467
08/04/2015,977.5,986.5,971,976,-1.5,-0.15%,142539,642573
08/03/2015,978,983.75,971.5,977.5,-3.25,-0.33%,145707,641804
07/31/2015,993,995.25,979,980.75,-9.5,-0.96%,150577,641658
07/30/2015,982,1002.25,982,990.25,7.25,+0.74%,187715,642267
07/29/2015,976.75,988.75,971.75,983,8.25,+0.85%,188119,637548
07/28/2015,963,976.75,962.75,974.75,13.5,+1.40%,198878,634083
07/27/2015,988,988.25,959.75,961.25,-30.,-3.03%,253520,642686
07/24/2015,1010.5,1011.25,988.75,991.25,-18.75,-1.86%,196429,649528
07/23/2015,1021.25,1029,1004.25,1010,-10.75,-1.05%,236719,667821
07/22/2015,1018.75,1027.5,1011.5,1020.75,2,+0.20%,191160,678865
07/21/2015,1011,1020,1008.25,1018.75,11,+1.09%,140026,679722
07/20/2015,1012,1012.75,998.25,1007.75,-7.,-0.69%,145454,673148
07/17/2015,1016.5,1021.25,1007.5,1014.75,-4.25,-0.42%,141713,672021
07/16/2015,1027.25,1038.25,1015.25,1019,-6.,-0.59%,168488,672870
07/15/2015,1030,1035,1014.25,1025,-8.5,-0.82%,189295,674415
07/14/2015,1039.5,1053.25,1030.5,1033.5,-4.,-0.39%,192900,676345
07/13/2015,1030.5,1040.5,1021,1037.5,5.5,+0.53%,140581,672769
07/10/2015,1026.25,1048.25,1022,1032,5.75,+0.56%,268598,671997
07/09/2015,996,1033.75,995.75,1026.25,29.5,+2.96%,238975,669577
07/08/2015,994,1008,987.25,996.75,4.75,+0.48%,212619,663725
07/07/2015,1021,1025.75,989.25,992,-30.25,-2.96%,292344,665404
07/06/2015,1032,1032,1017,1022.25,-16.,-1.54%,186563,672735
07/02/2015,1040,1047.25,1029,1038.25,-2.5,-0.24%,217193,670416
07/01/2015,1047,1054.75,1032.5,1040.75,-8.75,-0.83%,287622,668272
