Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
03/14/2001,442,442,442,442,-10.25,-2.27%,117064,147411
03/13/2001,452.25,452.25,452.25,452.25,-6.75,-1.47%,65368,149266
03/12/2001,455,459,455,459,2.25,+0.49%,54444,151967
03/09/2001,456.75,456.75,456.75,456.75,1.25,+0.27%,69172,152508
03/08/2001,459.5,459.5,455.5,455.5,-2.,-0.44%,90230,155153
03/07/2001,463,463,457.5,457.5,-4.25,-0.92%,96518,155102
03/06/2001,461.75,461.75,461.75,461.75,5.25,+1.15%,75578,152061
03/05/2001,456.75,456.75,453.5,456.5,0.75,+0.16%,67514,151131
03/02/2001,457,460,455.75,455.75,-1.25,-0.27%,59010,152468
03/01/2001,453,457,453,457,3.5,+0.77%,84494,153619
02/28/2001,451,454.75,451,453.5,2.25,+0.50%,143230,154920
02/27/2001,449.75,451.25,449.75,451.25,2,+0.45%,130808,157699
02/26/2001,447.25,449.25,447.25,449.25,1.25,+0.28%,96376,158763
02/23/2001,455,456.5,448,448,-7.,-1.54%,130938,158920
02/22/2001,457.5,460,455,455,-2.5,-0.55%,122554,161873
02/21/2001,454,457.5,453.75,457.5,3.5,+0.77%,127770,165671
02/20/2001,456.25,459,454,454,0,0.00%,98824,164094
02/16/2001,450.25,454,450,454,0.75,+0.17%,69210,166014
02/15/2001,452,453.25,451.75,453.25,2,+0.44%,80338,167622
02/14/2001,449.75,451.25,449.5,451.25,-2.5,-0.55%,69060,166980
02/13/2001,452.5,454,452.5,453.75,0.5,+0.11%,101722,167465
02/12/2001,455,456.5,453.25,453.25,0.25,+0.06%,110192,167776
02/09/2001,453,453,452,453,-10.,-2.16%,105440,168268
02/08/2001,463,463.5,462.25,463,-2.,-0.43%,124388,169102
02/07/2001,465.5,465.5,464,465,4,+0.87%,70404,167161
02/06/2001,461.75,461.75,461,461,-7.,-1.50%,63906,163541
02/05/2001,467.75,468.5,467,468,5,+1.08%,96148,163333
02/02/2001,462.25,463,462.25,463,4.75,+1.04%,76274,163598
02/01/2001,459,459.5,458.25,458.25,-1.5,-0.33%,76928,163528
01/31/2001,460.75,461,459.75,459.75,-1.5,-0.33%,81556,164164
01/30/2001,459.75,461.25,459.75,461.25,1.5,+0.33%,61000,162757
01/29/2001,460,460,457.75,459.75,-7.25,-1.55%,72424,162313
01/26/2001,465,467,465,467,-2.,-0.43%,118308,163461
01/25/2001,469.75,470,469,469,1,+0.21%,87654,163336
01/24/2001,467.75,468.5,467.25,468,-9.5,-1.99%,66774,160517
01/23/2001,476.25,477.5,476,477.5,8,+1.70%,96948,160263
01/22/2001,470.25,470.75,469.25,469.5,-6.5,-1.37%,66992,159313
01/19/2001,473.25,476,473,476,2.5,+0.53%,87164,159072
01/18/2001,472.5,474.75,472,473.5,-3.5,-0.73%,72740,157455
01/17/2001,476.75,477,475,477,-0.5,-0.10%,103436,158834
01/16/2001,482,482.5,477.5,477.5,-5.,-1.04%,101564,158990
01/12/2001,484.5,485.75,482.5,482.5,-2.,-0.41%,130438,158386
01/11/2001,496.25,498,484.5,484.5,-12.75,-2.56%,137372,158474
01/10/2001,502.5,502.5,497.25,497.25,-5.5,-1.09%,88624,157791
01/09/2001,499,502.75,498,502.75,3.75,+0.75%,74570,160394
01/08/2001,496,499,495,499,1.75,+0.35%,69098,161224
01/05/2001,500.5,502.5,497.25,497.25,-3.25,-0.65%,98128,160685
01/04/2001,506.75,507,500.5,500.5,-6.25,-1.23%,91346,161832
01/03/2001,504,506.75,503,506.75,2.25,+0.45%,101640,163084
01/02/2001,510,510.5,504.5,504.5,-5.25,-1.03%,66234,162985
12/29/2000,507.75,509.75,506.25,509.75,1.5,+0.30%,50346,163269
12/28/2000,508,508.75,507.75,508.25,-0.5,-0.10%,137382,166186
12/27/2000,510.25,511,507.75,508.75,-3.25,-0.63%,130672,167848
12/26/2000,512,518.25,512,512,-6.25,-1.21%,85132,173063
12/22/2000,518.5,521,518.25,518.25,-0.75,-0.14%,65066,175147
12/21/2000,517.25,519,515.75,519,1.5,+0.29%,92526,174839
12/20/2000,522,522,517.5,517.5,-4.5,-0.86%,92430,178503
12/19/2000,520,522,518,522,2,+0.38%,76364,180842
12/18/2000,516.75,522,516.75,520,3.25,+0.63%,102426,178823
12/15/2000,513.75,516.75,513.75,516.75,3,+0.58%,68288,178890
12/14/2000,515.25,517.75,513.75,513.75,-2.5,-0.48%,74996,185657
12/13/2000,515,516.25,513.5,516.25,0.75,+0.15%,90792,186793
12/12/2000,519.25,521,515.5,515.5,-3.5,-0.67%,90456,185875
12/11/2000,518,519,516.75,519,0,0.00%,87430,185079
12/08/2000,509.5,519,507.75,519,8.25,+1.62%,101948,184138
12/07/2000,514.25,517,510.75,510.75,-4.,-0.78%,118520,181371
12/06/2000,507,514.75,506.5,514.75,6.5,+1.28%,81298,177215
12/05/2000,511,511,508.25,508.25,-3.5,-0.68%,81956,174751
12/04/2000,515.5,515.5,511.75,511.75,-4.,-0.78%,75888,174093
12/01/2000,512.75,515.75,512.75,515.75,2.75,+0.54%,86956,174091
11/30/2000,507.75,513,507.75,513,4.5,+0.88%,133508,174477
11/29/2000,509,514,508,508.5,-1.,-0.20%,114718,171929
11/28/2000,506,509.5,505.25,509.5,2.75,+0.54%,85304,166627
11/27/2000,508.25,516.75,506.75,506.75,-3.,-0.59%,114838,164526
11/24/2000,501,509.75,501,509.75,9.75,+1.95%,75178,165437
11/22/2000,498.25,500,498,500,2,+0.40%,42284,164276
11/21/2000,500.25,501.75,498,498,-1.75,-0.35%,60250,164646
11/20/2000,496,499.75,496,499.75,2.75,+0.55%,94832,164051
11/17/2000,486,497,486,497,10.5,+2.16%,109040,166240
11/16/2000,490,490,486.5,486.5,-4.,-0.82%,48734,164269
11/15/2000,487.25,490.5,487.25,490.5,4.75,+0.98%,69566,163213
11/14/2000,484.25,485.75,484.25,485.75,1,+0.21%,77226,162934
11/13/2000,480.75,484.75,480.75,484.75,3.25,+0.67%,89050,163412
11/10/2000,486,486.5,481.5,481.5,-5.,-1.03%,84204,165761
11/09/2000,493.5,494,486.5,486.5,-7.5,-1.52%,97194,167051
11/08/2000,495.5,497,494,494,-1.75,-0.35%,78044,169173
11/07/2000,494,495.75,494,495.75,1,+0.20%,82860,172757
11/06/2000,494.25,495.5,494.25,494.75,1.25,+0.25%,108762,173522
