Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
05/14/2018,1007.25,1013.5,1007.25,1013,18.25,+1.83%,232123,873961
05/11/2018,1008.75,1008.75,993.25,994.75,-18.5,-1.83%,208388,870538
05/10/2018,1008,1018,1007.25,1013.25,6,+0.60%,236565,866160
05/09/2018,1011.25,1011.75,1002.25,1007.25,-4.,-0.40%,162992,860664
05/08/2018,1004.25,1011.75,1002.25,1011.25,9,+0.90%,200912,852051
05/07/2018,1025,1025,1001.25,1002.25,-25.,-2.43%,233796,856070
05/04/2018,1038.5,1039,1027,1027.25,-16.,-1.53%,177059,850545
05/03/2018,1032.75,1043.25,1024.75,1043.25,10.5,+1.02%,192000,848041
05/02/2018,1041.25,1041.25,1029.25,1032.75,-9.75,-0.94%,195608,848033
05/01/2018,1038.75,1044.5,1031.25,1042.5,4.75,+0.46%,160293,847595
04/30/2018,1046.25,1056.5,1036.5,1037.75,-7.25,-0.69%,202572,851653
04/27/2018,1028.5,1046.75,1019,1045,17,+1.65%,339496,853295
04/26/2018,1027.25,1034.5,1024,1028,0.5,+0.05%,274239,870837
04/25/2018,1022.25,1033.25,1020.5,1027.5,5.25,+0.51%,290333,900214
04/24/2018,1020.75,1026.25,1016.25,1022.25,1.5,+0.15%,299861,906318
04/23/2018,1027.5,1033.25,1017.25,1020.75,-8.,-0.78%,252051,915569
04/20/2018,1037,1038.5,1027.75,1028.75,-8.5,-0.82%,249779,921984
04/19/2018,1041.75,1044.75,1032.75,1037.25,-4.5,-0.43%,263902,954389
04/18/2018,1046.25,1052.5,1039,1041.75,-4.25,-0.41%,262678,974553
04/17/2018,1043.25,1049.25,1040,1046,4,+0.38%,211352,970469
04/16/2018,1054.25,1058.75,1041.5,1042,-12.25,-1.16%,252642,975923
04/13/2018,1060.25,1067.25,1051.5,1054.25,-6.5,-0.61%,281940,970204
04/12/2018,1047.75,1061.75,1047.25,1060.75,13,+1.24%,432778,968980
04/11/2018,1050.75,1058.75,1047.25,1047.75,-2.25,-0.21%,281824,951086
04/10/2018,1045.5,1064,1045,1050,3,+0.29%,391815,936447
04/09/2018,1038.25,1056.75,1037.5,1047,13.25,+1.28%,372016,921595
04/06/2018,1003,1037.25,1003,1033.75,2.5,+0.24%,358335,921133
04/05/2018,1015.5,1034,1011.75,1031.25,16,+1.58%,468225,911363
04/04/2018,1038.75,1041.75,983.5,1015.25,-22.75,-2.19%,764033,901810
04/03/2018,1036.25,1048.75,1035.75,1038,2.5,+0.24%,294485,906217
04/02/2018,1045.25,1060.5,1035.25,1035.5,-9.25,-0.89%,244701,901884
03/29/2018,1019.5,1050.75,1012.5,1044.75,26.75,+2.63%,402816,891297
03/28/2018,1019.5,1023.25,1015,1018,-1.5,-0.15%,205431,875132
03/27/2018,1027,1031.25,1017.25,1019.5,-6.,-0.59%,184691,872794
03/26/2018,1026.25,1040.25,1025,1025.5,-2.75,-0.27%,188586,870134
03/23/2018,1026.5,1034.25,1009.25,1028.25,-1.5,-0.15%,333101,867237
03/22/2018,1032,1035.5,1022.25,1029.75,0,0.00%,194611,861603
03/21/2018,1029.5,1037.25,1024.75,1029.75,1.5,+0.15%,199996,855151
03/20/2018,1022.25,1029.75,1022.25,1028.25,5.75,+0.56%,138977,851441
03/19/2018,1045.25,1045.5,1021.75,1022.5,-27.,-2.57%,249270,859154
03/16/2018,1042,1050,1040.75,1049.5,8.75,+0.84%,147519,861365
03/15/2018,1031,1046.25,1027,1040.75,8.5,+0.82%,209217,850020
