Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
08/14/2008,1288.75,1291,1237.5,1245.5,-24.5,-1.93%,123381,390461
08/13/2008,1224,1285.75,1222,1270,50,+4.10%,101043,394462
08/12/2008,1200,1225.25,1200,1220,5,+0.41%,120834,392492
08/11/2008,1200,1222,1194,1215,16,+1.33%,106175,392103
08/08/2008,1249,1249,1186.25,1199,-44.,-3.54%,117011,392336
08/07/2008,1222.5,1257.5,1222.5,1243,22.5,+1.84%,115187,390723
08/06/2008,1256.5,1268.5,1196.75,1220.5,-42.,-3.33%,162539,390564
08/05/2008,1274.25,1298,1243,1262.5,-24.5,-1.90%,147495,393411
08/04/2008,1348,1348,1268,1287,-70.75,-5.21%,108156,393205
08/01/2008,1395,1404.5,1355.75,1357.75,-38.,-2.72%,108622,397766
07/31/2008,1394,1410,1378,1395.75,1.75,+0.13%,114121,394816
07/30/2008,1386.5,1400,1364.25,1394,9.75,+0.70%,148119,396249
07/29/2008,1404.75,1407,1354.25,1384.25,-16.,-1.14%,167653,398492
07/28/2008,1404,1429.75,1384.25,1400.25,1.5,+0.11%,129475,403973
07/25/2008,1387,1407,1372,1398.75,13.75,+0.99%,105411,411575
07/24/2008,1389.75,1407.75,1368.5,1385,-9.25,-0.66%,131381,420912
07/23/2008,1416,1421.25,1372.5,1394.25,-22.5,-1.59%,149852,429213
07/22/2008,1410.75,1430.75,1384.75,1416.75,7.25,+0.51%,168454,431191
07/21/2008,1455.75,1469.25,1408.5,1409.5,-60.5,-4.12%,199878,441257
07/18/2008,1517.75,1532.5,1470,1470,-51.,-3.35%,154014,447348
07/17/2008,1575.25,1585.75,1513.25,1521,-52.,-3.31%,174421,452007
07/16/2008,1540.5,1584.25,1516.5,1573,31,+2.01%,147799,460589
07/15/2008,1578,1604,1537.25,1542,-40.,-2.53%,163265,459324
07/14/2008,1610,1610,1570.5,1582,-33.5,-2.07%,108061,461366
07/11/2008,1601.25,1635,1583,1615.5,15,+0.94%,142307,468343
07/10/2008,1574,1603,1562,1600.5,28.5,+1.81%,118943,464849
07/09/2008,1549,1574.75,1549,1572,23,+1.48%,121239,468407
07/08/2008,1577,1581.5,1505,1549,-30.,-1.90%,181844,472456
07/07/2008,1632.5,1639,1579,1579,-70.,-4.24%,112375,478039
07/03/2008,1643,1654,1610.75,1649,9.5,+0.58%,102439,487243
07/02/2008,1622,1643.75,1608,1639.5,16.5,+1.02%,129367,485111
07/01/2008,1597.75,1626.25,1591.75,1623,25,+1.56%,163973,479364
06/30/2008,1579,1601,1555.5,1598,19,+1.20%,167944,476634
06/27/2008,1574,1591.5,1571,1579,4.75,+0.30%,153523,473677
06/26/2008,1542,1580,1535.5,1574.25,34.25,+2.22%,179606,477492
06/25/2008,1501.75,1541.75,1494,1540,36,+2.39%,160083,474149
06/24/2008,1517,1530,1495.25,1504,-13.,-0.86%,151679,476188
06/23/2008,1525,1528,1493,1517,-18.,-1.17%,164396,478445
06/20/2008,1547,1569.5,1525,1535,-13.,-0.84%,144184,486508
06/19/2008,1561,1571,1519,1548,-13.,-0.83%,161405,506254
