Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
01/14/2003,562,562,555,555,-5.25,-0.94%,133446,195164
01/13/2003,565.5,565.5,560.25,560.25,-4.5,-0.80%,175014,198909
01/10/2003,590.5,592.5,564.75,564.75,-21.75,-3.71%,235078,205643
01/09/2003,586.5,586.5,586.5,586.5,-3.,-0.51%,102308,214926
01/08/2003,587,590,587,589.5,4.25,+0.73%,112580,217252
01/07/2003,581.25,585.25,580,585.25,3.25,+0.56%,111006,212793
01/06/2003,581.25,582,580.75,582,-0.25,-0.04%,144952,213008
01/03/2003,582.5,583,582,582.25,12.25,+2.15%,107208,210411
01/02/2003,570,571,569,570,0.5,+0.09%,142102,205722
12/31/2002,565.5,569.5,565,569.5,3.75,+0.66%,70618,201351
12/30/2002,568.5,569.5,565.75,565.75,-0.75,-0.13%,117972,203927
12/27/2002,566.5,566.75,565.5,566.5,0.75,+0.13%,81748,208822
12/26/2002,565.75,565.75,565.75,565.75,-6.75,-1.18%,86748,209790
12/23/2002,572,572.5,571,572.5,0.5,+0.09%,140264,210265
12/20/2002,564.75,572,564.25,572,8.25,+1.46%,134230,212550
12/19/2002,560.5,563.75,560.5,563.75,3.5,+0.62%,123938,216095
12/18/2002,556,560.25,554.5,560.25,4.25,+0.76%,168764,216993
12/17/2002,559.75,561.25,556,556,-5.5,-0.98%,147682,218612
12/16/2002,571.5,573,561.5,561.5,-10.5,-1.84%,120580,218086
12/13/2002,575,576,572,572,5.75,+1.02%,88958,217511
12/12/2002,568,568,566,566.25,-1.75,-0.31%,133516,215409
12/11/2002,564,568,563.75,568,4,+0.71%,73852,213424
12/10/2002,562,564,561,564,2,+0.36%,103206,214901
12/09/2002,560,562.5,560,562,-1.25,-0.22%,80348,213808
12/06/2002,564.5,565,562.5,563.25,1.25,+0.22%,99448,214140
12/05/2002,567,568.5,562,562,-4.25,-0.75%,156098,214789
12/04/2002,564,566.25,563.5,566.25,1.75,+0.31%,101840,214000
12/03/2002,578,578,564.5,564.5,-14.,-2.42%,148596,218024
12/02/2002,579.5,584.5,578.5,578.5,-0.25,-0.04%,138344,224859
11/29/2002,578,580.75,578,578.75,1.5,+0.26%,56928,218917
11/27/2002,573,577.25,573,577.25,4.25,+0.74%,84628,217355
11/26/2002,572.25,573,571.75,573,0.75,+0.13%,66332,214019
11/25/2002,571.75,573,569,572.25,0.5,+0.09%,95024,211208
11/22/2002,568.75,571.75,568,571.75,2.25,+0.40%,101740,210674
11/21/2002,575,575.25,569.5,569.5,-6.25,-1.09%,95298,206938
11/20/2002,573.75,575.75,573.5,575.75,7.75,+1.36%,106134,207496
11/19/2002,566,568,565.5,568,1.5,+0.26%,102812,205644
11/18/2002,563,566.5,562,566.5,3.25,+0.58%,79996,203299
11/15/2002,567,567.75,563.25,563.25,-4.,-0.71%,91486,202887
11/14/2002,563,567.25,562.5,567.25,4.25,+0.75%,122688,202145
11/13/2002,562,563,559.25,563,0.5,+0.09%,127838,201132
11/12/2002,568,573,562.5,562.5,-5.75,-1.01%,126166,202358
11/11/2002,558,568.25,556.75,568.25,9.75,+1.75%,81766,200843
11/08/2002,567.5,568,558.5,558.5,-9.75,-1.72%,124854,202645
11/07/2002,575.5,578,568.25,568.25,-6.75,-1.17%,115004,207222
11/06/2002,572.25,575,572,575,2.25,+0.39%,167804,210629
11/05/2002,572.25,574.75,572.25,572.75,0,0.00%,157422,208129
11/04/2002,567.5,572.75,566,572.75,4,+0.70%,112340,213030
11/01/2002,566,568.75,565,568.75,2.25,+0.40%,123752,215417
10/31/2002,558,566.5,557.25,566.5,8.25,+1.48%,172258,215889
10/30/2002,559.25,564,558.25,558.25,-1.,-0.18%,224506,214689
10/29/2002,546.5,559.25,546.5,559.25,13,+2.38%,209794,212590
10/28/2002,554.25,554.75,546.25,546.25,-11.,-1.97%,160924,214070
10/25/2002,558.5,558.5,557.25,557.25,-1.5,-0.27%,121374,216834
10/24/2002,554.5,558.75,554,558.75,4,+0.72%,145622,223423
10/23/2002,548,554.75,548,554.75,6.5,+1.19%,144630,219234
10/22/2002,553.5,553.5,548.25,548.25,-5.25,-0.95%,100990,216002
10/21/2002,548,553.5,547.75,553.5,5,+0.91%,108694,217121
10/18/2002,552.25,555,548.5,548.5,-4.25,-0.77%,96200,215261
10/17/2002,550.25,552.75,544.75,552.75,2,+0.36%,149790,213735
10/16/2002,551,554.75,550,550.75,-1.,-0.18%,118218,208085
10/15/2002,537,551.75,536.25,551.75,14.5,+2.70%,150960,206560
10/14/2002,533.25,537.25,532,537.25,4,+0.75%,80682,206181
10/11/2002,529.75,533.25,529.75,533.25,3.5,+0.66%,126370,205099
10/10/2002,529,530.5,529,529.75,0.75,+0.14%,107350,202893
10/09/2002,539.25,540,529,529,-11.,-2.04%,139260,202391
10/08/2002,544,544.5,540,540,-4.75,-0.87%,77852,203254
10/07/2002,544,544.75,542,544.75,0.75,+0.14%,90912,204708
10/04/2002,542,544,542,544,1.25,+0.23%,90924,202482
10/03/2002,541.5,543,541.5,542.75,1.25,+0.23%,111748,202043
10/02/2002,546,550,541.5,541.5,-4.5,-0.82%,125190,203409
10/01/2002,550,551.75,546,546,-4.75,-0.86%,116050,204804
09/30/2002,563,563.75,550.75,550.75,-13.25,-2.35%,147364,206661
09/27/2002,568,570,564,564,-4.5,-0.79%,91186,207272
09/26/2002,562,568.5,562,568.5,6.25,+1.11%,74536,205829
09/25/2002,565.5,566,562.25,562.25,-3.,-0.53%,80368,205576
09/24/2002,557,565.25,557,565.25,8.25,+1.48%,83554,204093
09/23/2002,567.5,567.5,557,557,-10.5,-1.85%,94624,204547
09/20/2002,565,567.5,565,567.5,0,0.00%,96108,204636
09/19/2002,575.75,576,567.5,567.5,-8.5,-1.48%,103580,201306
09/18/2002,576,577,576,576,0,0.00%,90144,203857
09/17/2002,575.25,578,574.5,576,-0.25,-0.04%,68902,200607
09/16/2002,567,576.25,567,576.25,7.75,+1.36%,90308,200378
09/13/2002,580.75,580.75,568.5,568.5,-12.,-2.07%,116284,200772
09/12/2002,591.5,593,580.5,580.5,-11.,-1.86%,124180,202229
09/11/2002,580.5,591.5,578,591.5,10.75,+1.85%,147244,202866
09/10/2002,573.5,580.75,572.25,580.75,6.5,+1.13%,106530,198398
09/09/2002,565,574.25,565,574.25,11,+1.95%,130062,197922
09/06/2002,558,563.25,558,563.25,3.75,+0.67%,99786,196109
09/05/2002,554.5,559.5,553.5,559.5,5.25,+0.95%,102222,197281
09/04/2002,552.75,554.25,549,554.25,3.25,+0.59%,71972,197069
09/03/2002,553,555.5,551,551,5,+0.92%,86080,198759
08/30/2002,539.5,546,539.25,546,6.25,+1.16%,69082,195411
08/29/2002,544,545,539.75,539.75,-4.75,-0.87%,82506,193489
08/28/2002,548,549.5,544.25,544.5,-1.,-0.18%,94764,193085
08/27/2002,542,545.5,542,545.5,3.5,+0.65%,94038,192213
08/26/2002,546.75,548,542,542,-1.25,-0.23%,75302,191578
08/23/2002,540,543.25,535.75,543.25,2.25,+0.42%,98256,193101
08/22/2002,545.5,547.5,541,541,-3.75,-0.69%,130792,197265
08/21/2002,536,544.75,536,544.75,9,+1.68%,162276,203382
08/20/2002,550,550,535.75,535.75,-15.75,-2.86%,162834,205221
08/19/2002,560.25,563,551.5,551.5,-13.25,-2.35%,133908,207909
08/16/2002,572.5,575,564.75,564.75,-8.,-1.40%,115136,207957
08/15/2002,570,577,570,572.75,2.5,+0.44%,154888,210368
08/14/2002,557,570.25,557,570.25,8,+1.42%,155876,208889
08/13/2002,555,562.25,551,562.25,9.5,+1.72%,160224,207399
08/12/2002,530,552.75,530,552.75,26.5,+5.04%,178692,207046
08/09/2002,526.25,526.25,526.25,526.25,2.75,+0.53%,93570,200996
08/08/2002,531.5,531.5,523.5,523.5,-8.,-1.51%,102364,202202
08/07/2002,533.25,533.25,530,531.5,-2.,-0.37%,100950,201018
08/06/2002,539,539,533.5,533.5,-2.25,-0.42%,99136,202226
08/05/2002,528,535.75,525,535.75,-6.25,-1.15%,112548,201604
08/02/2002,541,542,541,542,1,+0.18%,108854,203414
08/01/2002,539,548.75,539,541,3,+0.56%,206782,207086
07/31/2002,524.5,538,524.5,538,17.75,+3.41%,182122,203580
07/30/2002,509.5,520.25,508,520.25,14.5,+2.87%,175284,205510
