Report_Date,Open_Interest_All,MM_Long_All,MM_Short_All,Net_Position,Percent_of_OpenInterest
2022-03-22,1016326,180140,5948,174192,17.139
2022-03-29,982306,164777,8504,156273,15.909
2022-04-05,979037,170135,6480,163655,16.716
2022-04-12,984410,178210,6337,171873,17.459
2022-04-19,1005019,183980,4257,179723,17.883
2022-04-26,904744,177794,4317,173477,19.174
2022-05-03,888673,164290,11037,153253,17.245
2022-05-10,895823,147662,17001,130661,14.586
2022-05-17,920248,163464,16129,147335,16.01
2022-05-24,932993,176620,13553,163067,17.478
2022-05-31,963118,178733,14103,164630,17.093
2022-06-07,979103,173416,14488,158928,16.232
2022-06-14,971426,174546,11400,163146,16.794
2022-06-21,959863,169189,14776,154413,16.087
2022-06-28,800466,142757,18259,124498,15.553
2022-07-05,805841,131143,26095,105048,13.036
2022-07-12,790441,113616,17905,95711,12.109
2022-07-19,782719,103828,15996,87832,11.221
2022-07-26,724199,105592,17916,87676,12.107
2022-08-02,733897,111470,11999,99471,13.554
2022-08-09,749412,113032,11523,101509,13.545
2022-08-16,756272,112960,13624,99336,13.135
2022-08-23,789452,120146,15675,104471,13.233
2022-08-30,741434,120583,18782,101801,13.73
2022-09-06,741820,115876,16247,99629,13.43
2022-09-13,794029,127001,14874,112127,14.121
2022-09-20,808861,122496,17805,104691,12.943
2022-09-27,830261,110282,15451,94831,11.422
2022-10-04,810388,94762,17274,77488,9.562
2022-10-11,833186,86799,21061,65738,7.89
2022-10-18,847777,87049,20187,66862,7.887
2022-10-25,721646,94055,18644,75411,10.45
2022-11-01,669123,115356,14027,101329,15.144
2022-11-08,703484,115198,11290,103908,14.77
2022-11-15,711647,108966,16001,92965,13.063
2022-11-22,718082,104289,22154,82135,11.438
2022-11-29,721613,120171,18067,102104,14.149
2022-12-06,719341,128251,28797,99454,13.826
2022-12-13,744707,142217,22637,119580,16.057
2022-12-20,733115,146007,22438,123569,16.855
2022-12-27,682246,151222,22606,128616,18.852
2023-01-03,703996,166894,23900,142994,20.312
2023-01-10,727769,157767,26063,131704,18.097
2023-01-17,771901,186794,18496,168298,21.803
2023-01-24,797356,172806,26545,146261,18.343
2023-01-31,807030,193385,17881,175504,21.747
2023-02-07,840111,187873,22798,165075,19.649
2023-02-14,868514,198299,16091,182208,20.979
2023-02-21,860772,202144,13135,189009,21.958
2023-02-28,789610,158970,29360,129610,16.414
2023-03-07,816692,176449,19119,157330,19.264
2023-03-14,840290,147580,19919,127661,15.192
2023-03-21,867790,134522,23736,110786,12.766
2023-03-28,886818,127121,27599,99522,11.222
2023-04-04,911421,158354,12390,145964,16.015
2023-04-11,882745,142652,17630,125022,14.163
2023-04-18,856008,153973,19191,134782,15.745
2023-04-25,750013,115327,28119,87208,11.628
2023-05-02,733018,107640,51267,56373,7.691
2023-05-09,762666,106385,57926,48459,6.354
2023-05-16,815277,98465,74523,23942,2.937
2023-05-23,842442,84208,80061,4147,0.492
2023-05-30,847867,76883,76354,529,0.062
2023-06-06,854072,81729,67748,13981,1.637
2023-06-13,845019,98056,50174,47882,5.666
2023-06-20,875106,112152,35202,76950,8.793
2023-06-27,766683,129506,30026,99480,12.975
2023-07-03,790525,123316,34174,89142,11.276
2023-07-11,811792,121682,38934,82748,10.193
2023-07-18,864390,130864,35050,95814,11.085
2023-07-25,859676,146398,25659,120739,14.045
2023-08-01,813382,123815,29322,94493,11.617
2023-08-08,802230,101533,37452,64081,7.988
2023-08-15,817683,91375,40656,50719,6.203
2023-08-22,845742,97385,39179,58206,6.882
2023-08-29,856057,118861,27876,90985,10.628
2023-09-05,875032,115366,32556,82810,9.464
2023-09-12,905855,112059,38244,73815,8.149
2023-09-19,955446,90628,44796,45832,4.797
2023-09-26,946573,81821,51763,30058,3.175
2023-10-03,994381,68593,63592,5001,0.503
2023-10-10,1021295,66420,64254,2166,0.212
2023-10-17,1037359,70287,72271,-1984,0.191
2023-10-24,1005083,73419,65666,7753,0.771
2023-10-31,813932,79822,56669,23153,2.845
2023-11-07,845550,106308,37710,68598,8.113
2023-11-14,878980,122174,34261,87913,10.002
2023-11-21,891751,117545,35958,81587,9.149
2023-11-28,865163,111598,44036,67562,7.809
2023-12-05,846078,91302,54669,36633,4.33
2023-12-12,849842,83281,52432,30849,3.63
2023-12-19,827119,73229,62963,10266,1.241
2023-12-26,752705,70617,65850,4767,0.633
2024-01-02,789479,69804,81433,-11629,1.473
2024-01-09,833627,64373,95621,-31248,3.748
2024-01-16,874503,53776,130573,-76797,8.782
2024-01-23,931391,47965,139807,-91842,9.861
2024-01-30,956224,42509,150756,-108247,11.32
2024-02-06,991437,44368,174668,-130300,13.143
2024-02-13,1005227,49048,183548,-134500,13.38
2024-02-20,1037578,51617,188294,-136677,13.173
2024-02-27,922159,48217,208870,-160653,17.421
2024-03-05,927931,52457,224456,-171999,18.536
2024-03-12,951826,56290,211427,-155137,16.299
2024-03-19,995024,56166,204505,-148339,14.908
2024-03-26,1022662,58747,193527,-134780,13.179
2024-04-02,1054786,57412,195668,-138256,13.107
2024-04-09,1064875,54057,193367,-139310,13.082
2024-04-16,1126772,45089,212964,-167875,14.899
2024-04-23,1057438,47245,196259,-149014,14.092
2024-04-30,911168,51967,201203,-149236,16.379
2024-05-07,954273,79591,121044,-41453,4.344
2024-05-14,966137,69291,111956,-42665,4.416
2024-05-21,1006051,73099,99525,-26426,2.627
2024-05-28,1007496,80866,95084,-14218,1.411
2024-06-04,1074413,72494,132235,-59741,5.56
2024-06-11,1056572,71529,147409,-75880,7.182
