Report Date,Commodity,Region,Attribute,Value,Unit
2000-01-12,"OilSeed, Soybeans",Brazil,Beginning Stocks,6.0,Million Metric Tons
2000-01-12,"OilSeed, Soybeans",Brazil,Production,31.0,Million Metric Tons
2000-01-12,"OilSeed, Soybeans",Brazil,Imports,0.7,Million Metric Tons
2000-01-12,"OilSeed, Soybeans",Brazil,Crush,21.1,Million Metric Tons
2000-01-12,"OilSeed, Soybeans",Brazil,Total Use,23.3,Million Metric Tons
2000-01-12,"OilSeed, Soybeans",Brazil,Exports,9.2,Million Metric Tons
2000-01-12,"OilSeed, Soybeans",Brazil,Ending Stocks,5.2,Million Metric Tons
2000-01-12,"OilSeed, Soybeans",World,Beginning Stocks,24.02,Million Metric Tons
2000-01-12,"OilSeed, Soybeans",World,Production,153.75,Million Metric Tons
2000-01-12,"OilSeed, Soybeans",World,Imports,40.94,Million Metric Tons
2000-01-12,"OilSeed, Soybeans",World,Crush,133.29,Million Metric Tons
2000-01-12,"OilSeed, Soybeans",World,Total Use,155.94,Million Metric Tons
2000-01-12,"OilSeed, Soybeans",World,Exports,41.12,Million Metric Tons
2000-01-12,"OilSeed, Soybeans",World,Ending Stocks,21.65,Million Metric Tons
2000-01-12,Wheat,United States,Beginning Stocks,25.74,Million Metric Tons
2000-01-12,Wheat,United States,Production,62.66,Million Metric Tons
2000-01-12,Wheat,United States,Imports,2.72,Million Metric Tons
2000-01-12,Wheat,United States,Feed,8.17,Million Metric Tons
2000-01-12,Wheat,United States,Total Use,35.41,Million Metric Tons
2000-01-12,Wheat,United States,Exports,29.26,Million Metric Tons
2000-01-12,Wheat,United States,Ending Stocks,26.46,Million Metric Tons
2000-01-12,Wheat,Major Exporters,Beginning Stocks,30.52,Million Metric Tons
2000-01-12,Wheat,Major Exporters,Production,160.99,Million Metric Tons
2000-01-12,Wheat,Major Exporters,Imports,25.5,Million Metric Tons
2000-01-12,Wheat,Major Exporters,Feed,54.88,Million Metric Tons
2000-01-12,Wheat,Major Exporters,Total Use,106.55,Million Metric Tons
2000-01-12,Wheat,Major Exporters,Exports,84.2,Million Metric Tons
2000-01-12,Wheat,Major Exporters,Ending Stocks,26.26,Million Metric Tons
2000-01-12,Wheat,World,Beginning Stocks,136.01,Million Metric Tons
2000-01-12,Wheat,World,Production,584.45,Million Metric Tons
2000-01-12,Wheat,World,Imports,124.86,Million Metric Tons
2000-01-12,Wheat,World,Feed,102.5,Million Metric Tons
2000-01-12,Wheat,World,Total Use,591.08,Million Metric Tons
2000-01-12,Wheat,World,Exports,126.19,Million Metric Tons
2000-01-12,Wheat,World,Ending Stocks,129.38,Million Metric Tons
2000-02-11,Corn,United States,Beginning Stocks,45.39,Million Metric Tons
2000-02-11,Corn,United States,Production,239.72,Million Metric Tons
2000-02-11,Corn,United States,Imports,0.38,Million Metric Tons
2000-02-11,Corn,United States,Feed,143.52,Million Metric Tons
2000-02-11,Corn,United States,Total Use,191.78,Million Metric Tons
2000-02-11,Corn,United States,Exports,49.53,Million Metric Tons
2000-02-11,Corn,United States,Ending Stocks,44.18,Million Metric Tons
2000-02-11,Corn,Major Exporters,Beginning Stocks,2.14,Million Metric Tons
2000-02-11,Corn,Major Exporters,Production,24.5,Million Metric Tons
2000-02-11,Corn,Major Exporters,Imports,0.1,Million Metric Tons
2000-02-11,Corn,Major Exporters,Feed,9.45,Million Metric Tons
2000-02-11,Corn,Major Exporters,Total Use,14.1,Million Metric Tons
2000-02-11,Corn,Major Exporters,Exports,10.2,Million Metric Tons
2000-02-11,Corn,Major Exporters,Ending Stocks,2.44,Million Metric Tons
