Report_Date,Open_Interest_All,MM_Long_All,MM_Short_All,Net_Position,Percent_of_OpenInterest
2008-10-07,335790,17831,18900,-1069,0.318
2008-10-14,346659,17066,18279,-1213,0.35
2008-10-21,341689,15018,23819,-8801,2.576
2008-10-28,336701,12696,20484,-7788,2.313
2008-11-04,331137,11912,19198,-7286,2.2
2008-11-11,334827,11250,16725,-5475,1.635
2008-11-18,327226,8342,16536,-8194,2.504
2008-11-25,276863,8233,16574,-8341,3.013
2008-12-02,270790,8092,19630,-11538,4.261
2008-12-09,257072,6696,20522,-13826,5.378
2008-12-16,261880,9845,18750,-8905,3.4
2008-12-22,254170,13192,19759,-6567,2.584
2008-12-30,245171,13915,21086,-7171,2.925
2009-01-06,236752,15225,18972,-3747,1.583
2009-01-13,240463,14757,14523,234,0.097
2009-01-20,251296,14539,17910,-3371,1.341
2009-01-27,249622,14476,20026,-5550,2.223
2009-02-03,259510,16334,25073,-8739,3.368
2009-02-10,250936,13366,22675,-9309,3.71
2009-02-17,263380,10679,24774,-14095,5.352
2009-02-24,237776,10125,26581,-16456,6.921
2009-03-03,239878,11447,30646,-19199,8.004
2009-03-10,237650,12652,29135,-16483,6.936
2009-03-17,240044,11075,33176,-22101,9.207
2009-03-24,241550,12536,28647,-16111,6.67
2009-03-31,241849,14989,23255,-8266,3.418
2009-04-07,244547,17880,18981,-1101,0.45
2009-04-14,254905,21425,14712,6713,2.634
2009-04-21,252691,24020,15428,8592,3.4
2009-04-28,239257,24782,15443,9339,3.903
2009-05-05,244315,31465,15559,15906,6.51
2009-05-12,252243,36438,13715,22723,9.008
2009-05-19,266450,36941,21422,15519,5.824
2009-05-26,277931,35612,23443,12169,4.378
2009-06-02,285220,42275,20680,21595,7.571
2009-06-09,300556,42333,21719,20614,6.859
2009-06-16,313639,27679,26816,863,0.275
2009-06-23,306744,27031,29277,-2246,0.732
2009-06-30,283193,23233,32219,-8986,3.173
2009-07-07,287266,18379,37819,-19440,6.767
2009-07-14,299717,17295,42249,-24954,8.326
2009-07-21,299095,17662,39975,-22313,7.46
2009-07-28,281698,17475,36538,-19063,6.767
2009-08-04,295818,24361,28657,-4296,1.452
2009-08-11,291621,27823,23632,4191,1.437
2009-08-18,280627,24520,21666,2854,1.017
2009-08-25,274870,28499,20738,7761,2.824
2009-09-01,269212,23333,33082,-9749,3.621
2009-09-08,259111,22800,41618,-18818,7.263
2009-09-15,263190,25742,43691,-17949,6.82
2009-09-22,255076,26161,44364,-18203,7.136
2009-09-29,250762,24472,45770,-21298,8.493
2009-10-06,243041,26346,46092,-19746,8.125
2009-10-13,272851,32038,37768,-5730,2.1
2009-10-20,283245,39669,26953,12716,4.489
2009-10-27,289078,46725,18846,27879,9.644
2009-11-03,282918,38368,17948,20420,7.218
2009-11-09,286457,35779,15419,20360,7.108
2009-11-17,312964,50127,9725,40402,12.909
2009-11-24,287202,58694,5633,53061,18.475
2009-12-01,294010,58694,4828,53866,18.321
2009-12-08,274347,57759,4020,53739,19.588
2009-12-15,268540,53189,5753,47436,17.664
2009-12-22,259981,39341,9776,29565,11.372
2009-12-29,241324,40071,10115,29956,12.413
2010-01-05,240248,49450,7876,41574,17.305
2010-01-12,247076,41947,11562,30385,12.298
2010-01-19,253047,30857,16370,14487,5.725
2010-01-26,269833,31394,26888,4506,1.67
2010-02-02,296768,33630,31658,1972,0.664
2010-02-09,336428,37916,29221,8695,2.585
2010-02-16,336843,42494,20974,21520,6.389
2010-02-23,324979,43075,17273,25802,7.94
2010-03-02,318484,46166,12362,33804,10.614
2010-03-09,324869,52552,16039,36513,11.239
2010-03-16,323972,46209,15260,30949,9.553
2010-03-23,322355,39773,13071,26702,8.283
2010-03-30,325054,32791,18376,14415,4.435
2010-04-06,338795,42910,17126,25784,7.611
2010-04-13,331537,52709,15862,36847,11.114
2010-04-20,335659,40115,18363,21752,6.48
2010-04-27,309239,32901,18357,14544,4.703
2010-05-04,311762,30202,33296,-3094,0.992
2010-05-11,325116,33388,38674,-5286,1.626
2010-05-18,340739,29877,49093,-19216,5.64
2010-05-25,360102,28080,59405,-31325,8.699
2010-06-01,370047,32322,50474,-18152,4.905
2010-06-08,386301,29902,56537,-26635,6.895
2010-06-15,381437,32766,52020,-19254,5.048
2010-06-22,363873,33003,42604,-9601,2.639
2010-06-29,335813,26147,57235,-31088,9.258
2010-07-06,340049,24580,65588,-41008,12.059
2010-07-13,333110,34635,53289,-18654,5.6
2010-07-20,330238,36313,40380,-4067,1.232
2010-07-27,327045,40964,31103,9861,3.015
2010-08-03,348204,57221,21699,35522,10.201
2010-08-10,373184,65750,21433,44317,11.875
2010-08-17,378961,71360,16314,55046,14.526
2010-08-24,333593,53427,17318,36109,10.824
2010-08-31,313603,45248,21956,23292,7.427
2010-09-07,324673,49491,22256,27235,8.388
2010-09-14,344716,57917,16835,41082,11.918
2010-09-21,382003,69343,14603,54740,14.33
