Report_Date,Open_Interest_All,MM_Long_All,MM_Short_All,Net_Position,Percent_of_OpenInterest
2013-03-26,1818556,308793,116232,192561,10.589
2013-04-02,1895395,250202,155887,94315,4.976
2013-04-09,1907259,223885,172908,50977,2.673
2013-04-16,1910349,225356,172968,52388,2.742
2013-04-23,1922177,209463,197224,12239,0.637
2013-04-30,1694481,216132,170635,45497,2.685
2013-05-07,1711663,221213,159581,61632,3.601
2013-05-14,1729183,234474,158842,75632,4.374
2013-05-21,1781563,244455,190003,54452,3.056
2013-05-28,1766679,265648,167268,98380,5.569
2013-06-04,1756977,258352,167404,90948,5.176
2013-06-11,1794071,253139,170622,82517,4.599
2013-06-18,1818654,255920,181515,74405,4.091
2013-06-25,1639001,256430,185729,70701,4.314
2013-07-02,1677959,218503,238446,-19943,1.189
2013-07-09,1677143,209900,265667,-55767,3.325
2013-07-16,1686068,218332,255594,-37262,2.21
2013-07-23,1797856,215397,298758,-83361,4.637
2013-07-30,1787673,206517,314606,-108089,6.046
2013-08-06,1851640,221413,334485,-113072,6.107
2013-08-13,1934066,220394,343615,-123221,6.371
2013-08-20,1871279,203378,295156,-91778,4.905
2013-08-27,1585788,200568,257996,-57428,3.621
2013-09-03,1578535,196120,260626,-64506,4.086
2013-09-10,1600221,197824,262510,-64686,4.042
2013-09-17,1664579,192063,296274,-104211,6.261
2013-09-24,1677801,192454,318799,-126345,7.53
2013-10-01,1755882,193452,345370,-151918,8.652
2013-10-08,1783725,190295,344942,-154647,8.67
2013-10-15,1811735,195690,349227,-153537,8.475
2013-10-22,1869789,197709,356951,-159242,8.517
2013-10-29,1902900,201994,382621,-180627,9.492
2013-11-05,1941041,206554,385274,-178720,9.207
2013-11-12,1945827,210488,349548,-139060,7.147
2013-11-19,2014849,210251,356337,-146086,7.25
2013-11-26,1557202,198118,339169,-141051,9.058
2013-12-03,1521559,203840,322654,-118814,7.809
2013-12-10,1536489,202863,295079,-92216,6.002
2013-12-17,1550962,200065,304910,-104845,6.76
2013-12-24,1524435,200091,287885,-87794,5.759
2013-12-31,1531779,198447,293259,-94812,6.19
2014-01-07,1563886,200220,291671,-91451,5.848
2014-01-14,1646323,214369,278300,-63931,3.883
2014-01-21,1680673,206868,266193,-59325,3.53
2014-01-28,1660475,203189,255306,-52117,3.139
2014-02-04,1686048,224130,229444,-5314,0.315
2014-02-11,1729744,231392,197052,34340,1.985
2014-02-18,1774313,235999,190747,45252,2.55
2014-02-25,1652554,252473,164957,87516,5.296
2014-03-04,1689545,270429,112307,158122,9.359
2014-03-11,1727031,289629,80068,209561,12.134
2014-03-18,1753857,297844,69984,227860,12.992
2014-03-25,1717075,307648,68361,239287,13.936
2014-04-01,1805037,321280,45444,275836,15.281
2014-04-08,1867590,317408,47271,270137,14.464
2014-04-15,1891052,303623,53120,250503,13.247
2014-04-22,1866548,293719,57084,236635,12.678
2014-04-29,1769753,320744,56353,264391,14.939
2014-05-06,1765891,323617,57138,266479,15.09
2014-05-13,1758862,320405,65361,255044,14.501
2014-05-20,1758904,288430,80858,207572,11.801
2014-05-27,1747759,282879,104560,178319,10.203
2014-06-03,1794142,296009,121849,174160,9.707
2014-06-10,1867880,294575,148139,146436,7.84
2014-06-17,1897919,303452,166172,137280,7.233
2014-06-24,1756425,310454,195278,115176,6.557
2014-07-01,1753310,300247,198059,102188,5.828
2014-07-08,1829445,307798,200198,107600,5.882
2014-07-15,1941894,294736,201635,93101,4.794
2014-07-22,2018482,287708,217300,70408,3.488
2014-07-29,2003405,301485,238461,63024,3.146
2014-08-05,2024097,319074,247386,71688,3.542
2014-08-12,2008552,321175,253510,67665,3.369
2014-08-19,1976604,318770,254051,64719,3.274
2014-08-26,1755681,324543,256950,67593,3.85
2014-09-02,1735823,332485,252369,80116,4.615
2014-09-09,1831840,328460,246994,81466,4.447
2014-09-16,1877009,329133,242088,87045,4.637
2014-09-23,1969520,322241,240705,81536,4.14
2014-09-30,1931406,332003,246917,85086,4.405
2014-10-07,1893351,332246,259153,73093,3.861
2014-10-14,1899171,325425,236757,88668,4.669
2014-10-21,1906785,323624,196672,126952,6.658
2014-10-28,1848632,305375,163587,141788,7.67
2014-11-04,1895470,304302,140629,163673,8.635
2014-11-11,1916672,302142,115335,186807,9.746
2014-11-18,1916328,302869,115915,186954,9.756
2014-11-25,1546770,311285,104089,207196,13.395
2014-12-02,1536954,307262,109923,197339,12.84
2014-12-09,1569234,317848,87654,230194,14.669
2014-12-16,1619574,311880,75710,236170,14.582
2014-12-23,1637415,308411,63989,244422,14.927
2014-12-30,1584175,308712,69008,239704,15.131
2015-01-06,1633720,308704,82069,226635,13.872
2015-01-13,1685156,299813,95202,204611,12.142
2015-01-20,1716624,296630,99612,197018,11.477
2015-01-27,1689411,275142,105225,169917,10.058
2015-02-03,1758303,261558,145701,115857,6.589
2015-02-10,1768289,237637,128324,109313,6.182
2015-02-17,1778873,233310,130541,102769,5.777
2015-02-24,1621404,227047,146856,80191,4.946
2015-03-03,1610985,210462,160269,50193,3.116
2015-03-10,1642332,205302,172642,32660,1.989
2015-03-17,1778928,201361,238391,-37030,2.082
2015-03-24,1806955,210622,209871,751,0.042
2015-03-31,1807763,197204,188651,8553,0.473
2015-04-07,1809465,192746,183655,9091,0.502
2015-04-14,1875432,182558,230870,-48312,2.576
2015-04-21,1851654,173809,239107,-65298,3.526
2015-04-28,1770937,190346,282729,-92383,5.217
2015-05-05,1817160,205145,322130,-116985,6.438
2015-05-12,1839894,222320,338900,-116580,6.336
2015-05-19,1899696,230992,365732,-134740,7.093
2015-05-26,1940073,236588,377031,-140443,7.239
2015-06-02,1967101,243527,378368,-134841,6.855
2015-06-09,1982262,246716,337289,-90573,4.569
2015-06-16,2015048,246955,367126,-120171,5.964
2015-06-23,1985010,245666,340188,-94522,4.762
2015-06-30,1872560,291529,220923,70606,3.771
2015-07-07,1892372,288542,115262,173280,9.157
2015-07-14,1953234,293372,90625,202747,10.38
2015-07-21,1975488,334088,54423,279665,14.157
2015-07-28,1867692,302594,59793,242801,13.0
2015-08-04,1917728,283371,119572,163799,8.541
2015-08-11,1938783,271129,170011,101118,5.216
2015-08-18,1912247,259802,186176,73626,3.85
2015-08-25,1685206,244006,170469,73537,4.364
2015-09-01,1641364,241494,164509,76985,4.69
2015-09-08,1682121,242547,195286,47261,2.81
2015-09-15,1700758,249800,180004,69796,4.104
2015-09-22,1726114,249623,182998,66625,3.86
2015-09-29,1720579,251827,184414,67413,3.918
2015-10-06,1734290,268718,150989,117729,6.788
2015-10-13,1698898,242931,150707,92224,5.428
2015-10-20,1731746,223910,191077,32833,1.896
2015-10-27,1699940,225978,192378,33600,1.977
2015-11-03,1742154,218405,193640,24765,1.422
2015-11-10,1841342,187511,245915,-58404,3.172
2015-11-17,1835757,172377,257040,-84663,4.612
2015-11-24,1569546,164118,263926,-99808,6.359
2015-12-01,1564356,175087,253227,-78140,4.995
2015-12-08,1555113,172487,237233,-64746,4.163
2015-12-15,1544832,168519,207625,-39106,2.531
2015-12-22,1586524,152914,235457,-82543,5.203
2015-12-29,1595753,153826,289937,-136111,8.53
2016-01-05,1664511,156263,318251,-161988,9.732
2016-01-12,1718119,153725,340556,-186831,10.874
2016-01-19,1725214,155584,313794,-158210,9.17
2016-01-26,1664876,154428,241625,-87197,5.237
2016-02-02,1690543,173472,232951,-59479,3.518
2016-02-09,1747003,165855,268640,-102785,5.884
2016-02-16,1749401,160192,298129,-137937,7.885
2016-02-23,1622002,160811,295145,-134334,8.282
2016-03-01,1630381,144629,348466,-203837,12.502
2016-03-08,1687116,145100,374276,-229176,13.584
2016-03-15,1714437,161903,350070,-188167,10.975
2016-03-22,1710319,168208,322777,-154569,9.037
2016-03-29,1699627,172210,280643,-108433,6.38
2016-04-05,1850969,156829,318694,-161865,8.745
2016-04-12,1886803,159873,296578,-136705,7.245
2016-04-19,1937677,185508,216417,-30909,1.595
2016-04-26,1850214,231735,151954,79781,4.312
2016-05-03,1811506,223937,152905,71032,3.921
2016-05-10,1787262,203239,160270,42969,2.404
2016-05-17,1828693,206525,157547,48978,2.678
2016-05-24,1840059,217372,152676,64696,3.516
2016-05-31,1866861,248107,117309,130798,7.006
2016-06-07,2006083,298346,90379,207967,10.367
2016-06-14,2088225,327599,75304,252295,12.082
2016-06-21,2045819,328923,104096,224827,10.99
2016-06-28,1770114,262634,87908,174726,9.871
2016-07-05,1788889,211963,108860,103103,5.764
2016-07-12,1805645,170469,161767,8702,0.482
2016-07-19,1826301,165322,178684,-13362,0.732
2016-07-26,1759784,151094,216632,-65538,3.724
2016-08-02,1812322,151843,256275,-104432,5.762
2016-08-09,1846059,153737,290814,-137077,7.425
2016-08-16,1885260,158267,319746,-161479,8.565
2016-08-23,1889384,177950,331892,-153942,8.148
2016-08-30,1708372,176163,338666,-162503,9.512
2016-09-06,1717881,173355,354248,-180893,10.53
2016-09-13,1698121,175692,322632,-146940,8.653
2016-09-20,1706158,177933,339525,-161592,9.471
2016-09-27,1707593,170340,347184,-176844,10.356
2016-10-04,1707470,180643,343501,-162858,9.538
2016-10-11,1705598,175974,306947,-130973,7.679
2016-10-18,1730859,194901,264879,-69978,4.043
2016-10-25,1724477,197392,266354,-68962,3.999
2016-11-01,1761458,203659,268667,-65008,3.691
2016-11-08,1751431,213658,241712,-28054,1.602
2016-11-15,1811606,180501,265657,-85156,4.701
2016-11-22,1757622,184624,245018,-60394,3.436
2016-11-29,1479941,183863,253124,-69261,4.68
2016-12-06,1482575,169279,241871,-72592,4.896
2016-12-13,1483182,167617,241624,-74007,4.99
2016-12-20,1494211,164525,261611,-97086,6.497
2016-12-27,1497392,163211,276859,-113648,7.59
2017-01-03,1525508,176652,273021,-96369,6.317
2017-01-10,1547164,186130,262694,-76564,4.949
2017-01-17,1649271,199428,250813,-51385,3.116
2017-01-24,1682765,242526,221628,20898,1.242
2017-01-31,1650586,229116,225655,3461,0.21
2017-02-07,1729810,247967,219134,28833,1.667
2017-02-14,1856434,281234,195874,85360,4.598
2017-02-21,1909551,280922,188706,92216,4.829
2017-02-28,1685712,268066,185931,82135,4.872
2017-03-07,1707744,274859,194778,80081,4.689
2017-03-14,1755380,210705,234307,-23602,1.345
2017-03-21,1818223,206815,288506,-81691,4.493
2017-03-28,1814115,193780,349292,-155512,8.572
2017-04-04,1854437,186797,337084,-150287,8.104
2017-04-11,1885245,194807,353224,-158417,8.403
2017-04-18,1902704,182590,354399,-171809,9.03
2017-04-25,1839080,190753,387010,-196257,10.671
2017-05-02,1756829,185081,369711,-184630,10.509
2017-05-09,1797779,183102,391744,-208642,11.606
2017-05-16,1809949,204196,408105,-203909,11.266
2017-05-23,1834218,209291,385794,-176503,9.623
2017-05-30,1797132,209318,410299,-200981,11.183
2017-06-06,1863218,242880,381638,-138758,7.447
2017-06-13,1923781,254414,272343,-17929,0.932
2017-06-20,1866228,244502,298327,-53825,2.884
2017-06-27,1729295,218697,324816,-106119,6.137
2017-07-03,1753868,222056,268771,-46715,2.664
2017-07-11,1840817,260080,159116,100964,5.485
2017-07-18,1807610,253267,148597,104670,5.791
2017-07-25,1758611,245691,138876,106815,6.074
2017-08-01,1800411,247450,162806,84644,4.701
2017-08-08,1767900,232044,164971,67073,3.794
2017-08-15,1792103,228705,188903,39802,2.221
2017-08-22,1874724,221765,238838,-17073,0.911
2017-08-29,1707700,213692,278637,-64945,3.803
2017-09-05,1675001,210368,320091,-109723,6.551
2017-09-12,1736940,214067,333479,-119412,6.875
